Compound ID,LXRbeta binder,smiles
4_63,1,CCCc1cc(cc(CCC)c1OCCCCN1C(=O)NC(C)(C1=O)c1ccc(OC(F)(F)F)cc1)C(O)(C(F)(F)F)C(F)(F)F
MOL8_3,0,C[C@@](Cn1cnc2cnccc2c1=O)(c3cccc(c3)C(F)(F)F)O
1_21,1,FC(F)(F)c1cccc(COc2cccc(c2)c2c(Cc3ccccc3)nnc3c(Cl)cccc23)c1
6_31,0,CCCc1cc2c(cc(=O)oc2c(CCC)c1OCCCCN1C(=O)NC(C)(C1=O)c1cc(OC)ccc1)C(F)(F)F
MOL10_3,0,COc1ccc(cc1)Cc2ncc3c(n2)CN(C3)c4cc[nH+]cc4F
5_44a,1,CCCc1c(Oc2ccc(CCN3C(=O)NC(C)(C3=O)c3ccc(OC(C)C)cc3)c(C)c2)ccc(c1)C(O)(C(F)(F)F)C(F)(F)F
MOL8,0,n1(C[C@@H](CN(C)Cc2nn(nc2)c2ccccc2)O)nccc1
7_28a,0,Clc1ccc(Cl)c2c1C(=O)N(C2=O)c1ccccc1CCc1ccccc1
7_24d,0,COc1cc(/C=C/c2ccccc2N2C(=O)c3c(C2=O)c(Cl)c(Cl)c(Cl)c3Cl)cc(OC)c1OC
1_3,1,OC(c1ccc(cc1)N(CC(F)(F)F)S(=O)(=O)c1ccccc1)(C(F)(F)F)C(F)(F)F
6_42,1,CCCc1c(OCCCCN2C(=O)NC(C)(C2=O)c2ccccc2)ccc2c(cc(=O)oc12)C(F)(F)F
MOL8_2,0,Cn1c2cccc(c2nc1CCNc1nccc(n1)C(F)(F)F)F
6_19,1,CCCc1cc2c(cc(=O)oc2c(CCC)c1OCCCCN1C(=O)CSC1=O)C(F)(F)F
4_7b,1,CCCc1cc(cc(CCC)c1OCCCCN1C(=O)NC(C)(C1=O)c1ccc(OC)cc1)C(O)(C(F)(F)F)C(F)(F)F
4_51,1,CCCc1cc(ccc1OCCCCN1C(=O)NC(C)(C1=O)c1ccc(cc1)N(C)C)C(O)(C(F)(F)F)C(F)(F)F
4_53,1,CCCc1cc(ccc1OCCCCN1C(=O)NC(C)(C1=O)c1ccc(Cl)c(Cl)c1)C(O)(C(F)(F)F)C(F)(F)F
MOL6_3,0,COCCC[NH+]1CCCN(CC1)c2c(ccc(n2)C(F)(F)F)C#N
4_7a,1,CCCc1cc(cc(CCC)c1OCCCCN1C(=O)N(C)C(C)(C)C1=O)C(O)(C(F)(F)F)C(F)(F)F
4_64,1,CCCc1cc(cc(CCC)c1OCCCCN1C(=O)NC(C)(C1=O)c1ccc2OCOc2c1)C(O)(C(F)(F)F)C(F)(F)F
7_30a,0,Fc1c(F)c(F)c(F)c2c1C(=O)N(C2=O)c1ccccc1CCc1ccccc1
7_25d,0,COc1cc(CCc2ccccc2N2C(=O)c3c(cccc3)C2=O)cc(OC)c1OC
4_65,1,CCCc1cc(cc(CCC)c1OCCCCN1C(=O)NC(C)(C1=O)c1ccc2OCCOc2c1)C(O)(C(F)(F)F)C(F)(F)F
4_56,1,CCCc1cc(ccc1OCCCCN1C(=O)NC(C)(C1=O)c1ccc(cc1)[N+](=O)[O-])C(O)(C(F)(F)F)C(F)(F)F
7_28b,0,COc1ccc(CCc2ccccc2N2C(=O)c3c(C2=O)c(Cl)ccc3Cl)cc1
6_20,1,CCCc1cc2c(cc(=O)oc2c(CCC)c1OCCCCN1C(=O)CN(C)C1=O)C(F)(F)F
4_55,1,CCCc1cc(ccc1OCCCCN1C(=O)NC(C)(C1=O)c1ccc(cc1)C(F)(F)F)C(O)(C(F)(F)F)C(F)(F)F
4_57,1,CCCc1cc(ccc1OCCCCN1C(=O)NC(CC)(C1=O)c1ccc(OC)cc1)C(O)(C(F)(F)F)C(F)(F)F
7_48b,0,COc1ccc(CCCCc2ccccc2N2C(=O)c3c(C2=O)c(Cl)c(Cl)c(Cl)c3Cl)cc1
6_34,1,CCCc1cc2c(cc(=O)oc2c(CCC)c1OCCCCN1C(=O)NC(C)(C1=O)c1ccc2OCOc2c1)C(F)(F)F
